"ID","ClassName","Label","Value","AnswerInputFieldID"
1,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Insignificant","Insignificant",167
2,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Minor","Minor",167
3,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Moderate","Moderate",167
4,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Severe","Severe",167
5,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Extreme","Extreme",167
6,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 7","System 7",168
7,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 5","System 5",168
8,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","First Name","First Name",169
9,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Last Name","Last Name",169
10,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Date of Birth","Date of Birth",169
11,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Address","Address",169
12,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Business Address","Business Address",0
13,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Phone Number","Phone Number",169
14,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Email Address","Email Address",169
15,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Medical Information","Medical Information",169
16,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Driver Licence Photo","Driver Licence Photo",169
17,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Other / Not Listed","Other / Not Listed",0
18,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","No Personal Information","No Personal Information",0
19,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","A","A",0
20,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Driver Licence Information","Driver Licence Information",169
21,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Other / Not Listed / None","Other / Not Listed / None",169
22,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Accident / Death Information","Accident / Death Information",170
23,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Fines/Infringement Information","Fines/Infringement Information",170
24,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Photo of Person(s)","Photo of Person(s)",170
25,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Traffic / CCTV Footage","Traffic / CCTV Footage",170
26,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Staff Payroll Information","Staff Payroll Information",170
27,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Other Personal Information","Other Personal Information",170
28,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","No Personal Information","No Personal Information",170
29,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Credit Card Payment URL","Credit Card Payment URL",171
30,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Vehicle Information (Plate/Weight/Permits etc)","Vehicle Information (Plate/Weight/Permits etc)",171
31,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Other/Not Listed","Other/Not Listed",171
32,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","No Other Information","No Other Information",171
33,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 1 (Payroll)","System 1 (Payroll)",172
34,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 2","System 2",172
35,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 3","System 3",172
36,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 4","System 4",172
37,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 5","System 5",172
38,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 7","System 7",172
39,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 9","System 9",172
40,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 10","System 10",172
41,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 11","System 11",172
42,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Other / Not Listed","Other / Not Listed",172
43,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","No","No",194
44,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Yes","Yes",194
45,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Not Sure","Not Sure",194
46,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Yes","Yes",195
47,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","No - Working on obtaining permission","No - Working on obtaining permission",195
48,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Not Sure","Not Sure",195
49,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","No","No",199
50,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Yes","Yes",199
51,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Not Sure","Not Sure",199
52,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","No","No",201
53,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Yes","Yes",201
54,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Not Sure","Not Sure",201
55,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","First Name","First Name",205
56,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Last Name","Last Name",205
57,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Date of Birth","Date of Birth",205
58,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Address","Address",205
59,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Phone Number","Phone Number",205
60,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Email","Email",205
61,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Medical Information","Medical Information",205
62,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Driver Licence Photo","Driver Licence Photo",205
63,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Driver Licence Information","Driver Licence Information",205
64,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Accident/Death Information","Accident/Death Information",205
65,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Fines Information","Fines Information",205
66,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Photo of person","Photo of person",205
67,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Credit Card Payment URL","Credit Card Payment URL",205
68,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Vehicle Information (Plate, Weight, Permits etc)","Vehicle Information (Plate, Weight, Permits etc)",205
69,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Traffic Camera or CCTV Footage","Traffic Camera or CCTV Footage",205
70,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Staff Payroll","Staff Payroll",205
71,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 1","System 1",206
72,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 2","System 2",206
73,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 3","System 3",206
74,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 4","System 4",206
75,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 5","System 5",206
76,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 6","System 6",206
77,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 7","System 7",206
78,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 8","System 8",206
79,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 9","System 9",206
80,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 10","System 10",206
81,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 11","System 11",206
82,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 12","System 12",206
83,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 13","System 13",206
84,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 14","System 14",206
85,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 15","System 15",206
86,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 16","System 16",206
87,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 17","System 17",206
88,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 18","System 18",206
89,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 19","System 19",206
90,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 20","System 20",206
91,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 21","System 21",206
92,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 22","System 22",206
93,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","System 23","System 23",206
